system-suspend-hibernate system-hibernate
dialog-cancel window-close
dialog-close window-close
network-wireless-connected network-wireless
network-wireless-disconnected network-wireless
network-wireless-available network-wireless
network-wireless-signal-none network-wireless
network-wireless-signal-weak network-wireless
network-wireless-signal-ok network-wireless
network-wireless-signal-good network-wireless
network-wireless-signal-excellent network-wireless
network-wireless-hotspot network-wireless
network-wired-activated network-workgroup
network-wired-available network-workgroup
network-wired-disconnected network-workgroup
network-wired-unavailable network-workgroup
network-wired network-workgroup
network-wired-symbolic network-wireless-symbolic
network-offline network-workgroup
network-vpn network-workgroup
network-bluetooth bluetooth
network-bluetooth-activated bluetooth
network-bluetooth-activated-symbolic bluetooth-symbolic
network-bluetooth-symbolic bluetooth-symbolic
preferences-system-bluetooth bluetooth
bluetooth-active bluetooth
bluetooth-disabled bluetooth-symbolic
configure preferences-system
configure-symbolic preferences-system
application-menu open-menu
open-menu-symbolic open-menu
overflow-menu open-menu
emblem-favorite starred
trash-empty user-trash
klipper edit-paste
arrow-up go-up
arrow-down go-down
draw-arrow-up go-up
edit-clear edit-delete
help-about help-browser
help-contents help-browser
system-help help-browser
krunner system-search
plasma-search system-search
system-run application-x-executable
user skillfish
user-identity skillfish
folder-new folder
